GEOID,LONGNAME,COUNTY,PlanningRegion,ARCModelingArea,% Gross rent 30.0 percent of income or greater 2019
13089023313,"Census Tract 233.13, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,60.4
13089021604,"Census Tract 216.04, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,8.5
13089021913,"Census Tract 219.13, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,60.2
13135050321,"Census Tract 503.21, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,43.7
13165960100,"Census Tract 9601, Jenkins County",Jenkins,Central Savannah River Area,No,46.2
13025960200,"Census Tract 9602, Brantley County",Brantley,Southern Georgia,No,64.9
13121011412,"Census Tract 114.12, Fulton County",Fulton,Atlanta Regional Commission,Yes,42.1
13215011400,"Census Tract 114, Muscogee County",Muscogee,River Valley,No,49.7
13215010608,"Census Tract 106.08, Muscogee County",Muscogee,River Valley,No,64.9
13135050419,"Census Tract 504.19, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,46.1
13303950500,"Census Tract 9505, Washington County",Washington,Central Savannah River Area,No,42.2
13285960800,"Census Tract 9608, Troup County",Troup,Three Rivers,No,69.5
13089021906,"Census Tract 219.06, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,53.1
13101880100,"Census Tract 8801, Echols County",Echols,Southern Georgia,No,55.9
13179010600,"Census Tract 106, Liberty County",Liberty,Coastal Regional Commission,No,34
13245010511,"Census Tract 105.11, Richmond County",Richmond,Central Savannah River Area,No,64.4
13095001000,"Census Tract 10, Dougherty County",Dougherty,Southwest Georgia,No,41.5
13135050524,"Census Tract 505.24, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,46.4
13245010507,"Census Tract 105.07, Richmond County",Richmond,Central Savannah River Area,No,54.2
13121004400,"Census Tract 44, Fulton County",Fulton,Atlanta Regional Commission,Yes,66.9
13097080103,"Census Tract 801.03, Douglas County",Douglas,Atlanta Regional Commission,Yes,45.8
13089021413,"Census Tract 214.13, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,55.6
13139000900,"Census Tract 9, Hall County",Hall,Georgia Mountains,Yes,44.6
13247060407,"Census Tract 604.07, Rockdale County",Rockdale,Atlanta Regional Commission,Yes,31.1
13221960100,"Census Tract 9601, Oglethorpe County",Oglethorpe,Northeast Georgia,No,45.9
13135050313,"Census Tract 503.13, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,58.5
13089021911,"Census Tract 219.11, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,61.9
13089023114,"Census Tract 231.14, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,50
13153020800,"Census Tract 208, Houston County",Houston,Middle Georgia,No,33.9
13067031405,"Census Tract 314.05, Cobb County",Cobb,Atlanta Regional Commission,Yes,62
13067031101,"Census Tract 311.01, Cobb County",Cobb,Atlanta Regional Commission,Yes,46.6
13089020500,"Census Tract 205, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,46.8
13135050318,"Census Tract 503.18, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,56.4
13089021217,"Census Tract 212.17, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,39.8
13089022204,"Census Tract 222.04, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,36.3
13151070108,"Census Tract 701.08, Henry County",Henry,Atlanta Regional Commission,Yes,53.8
13051011300,"Census Tract 113, Chatham County",Chatham,Coastal Regional Commission,No,50.8
13313001400,"Census Tract 14, Whitfield County",Whitfield,Northwest Georgia,No,46.5
13121001900,"Census Tract 19, Fulton County",Fulton,Atlanta Regional Commission,Yes,37.1
13121000600,"Census Tract 6, Fulton County",Fulton,Atlanta Regional Commission,Yes,54.8
13121007806,"Census Tract 78.06, Fulton County",Fulton,Atlanta Regional Commission,Yes,53.6
13121001600,"Census Tract 16, Fulton County",Fulton,Atlanta Regional Commission,Yes,31.1
13309780100,"Census Tract 7801, Wheeler County",Wheeler,Heart of Georgia Altamaha,No,37.4
13051002900,"Census Tract 29, Chatham County",Chatham,Coastal Regional Commission,No,27.9
13215010401,"Census Tract 104.01, Muscogee County",Muscogee,River Valley,No,42.4
13089023309,"Census Tract 233.09, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,59.1
13051011200,"Census Tract 112, Chatham County",Chatham,Coastal Regional Commission,No,54
13315960100,"Census Tract 9601, Wilcox County",Wilcox,Heart of Georgia Altamaha,No,30.7
13217100400,"Census Tract 1004, Newton County",Newton,Northeast Georgia,Yes,47.1
13121011427,"Census Tract 114.27, Fulton County",Fulton,Atlanta Regional Commission,Yes,52.6
13151070501,"Census Tract 705.01, Henry County",Henry,Atlanta Regional Commission,Yes,58
13187960102,"Census Tract 9601.02, Lumpkin County",Lumpkin,Georgia Mountains,No,40.6
13067031505,"Census Tract 315.05, Cobb County",Cobb,Atlanta Regional Commission,Yes,51.6
13121001201,"Census Tract 12.01, Fulton County",Fulton,Atlanta Regional Commission,Yes,42.8
13031110900,"Census Tract 1109, Bulloch County",Bulloch,Coastal Regional Commission,No,14.5
13121011410,"Census Tract 114.10, Fulton County",Fulton,Atlanta Regional Commission,Yes,50.1
13185010900,"Census Tract 109, Lowndes County",Lowndes,Southern Georgia,No,46.7
13089023209,"Census Tract 232.09, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,54.1
13067031116,"Census Tract 311.16, Cobb County",Cobb,Atlanta Regional Commission,Yes,55.7
13245001500,"Census Tract 15, Richmond County",Richmond,Central Savannah River Area,No,49.7
13265010200,"Census Tract 102, Taliaferro County",Taliaferro,Central Savannah River Area,No,44.7
13121001500,"Census Tract 15, Fulton County",Fulton,Atlanta Regional Commission,Yes,40.2
13017960400,"Census Tract 9604, Ben Hill County",Ben Hill,Southern Georgia,No,49.6
13135050211,"Census Tract 502.11, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,49.3
13117130604,"Census Tract 1306.04, Forsyth County",Forsyth,Atlanta Regional Commission,Yes,36.7
13117130406,"Census Tract 1304.06, Forsyth County",Forsyth,Atlanta Regional Commission,Yes,52.6
13089023504,"Census Tract 235.04, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,69.2
13067031312,"Census Tract 313.12, Cobb County",Cobb,Atlanta Regional Commission,Yes,47.2
13077170603,"Census Tract 1706.03, Coweta County",Coweta,Three Rivers,Yes,40.7
13089021301,"Census Tract 213.01, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,59
13051004001,"Census Tract 40.01, Chatham County",Chatham,Coastal Regional Commission,No,59.6
13051003602,"Census Tract 36.02, Chatham County",Chatham,Coastal Regional Commission,No,66.4
13275960900,"Census Tract 9609, Thomas County",Thomas,Southwest Georgia,No,64.4
13067031508,"Census Tract 315.08, Cobb County",Cobb,Atlanta Regional Commission,Yes,51.8
13051002000,"Census Tract 20, Chatham County",Chatham,Coastal Regional Commission,No,57.2
13051002300,"Census Tract 23, Chatham County",Chatham,Coastal Regional Commission,No,62.6
13001950100,"Census Tract 9501, Appling County",Appling,Heart of Georgia Altamaha,No,14.1
13115000500,"Census Tract 5, Floyd County",Floyd,Northwest Georgia,No,56
13145120300,"Census Tract 1203, Harris County",Harris,River Valley,No,57
13027960300,"Census Tract 9603, Brooks County",Brooks,Southern Georgia,No,42.1
13121011305,"Census Tract 113.05, Fulton County",Fulton,Atlanta Regional Commission,Yes,62.8
13135050417,"Census Tract 504.17, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,65.3
13063040523,"Census Tract 405.23, Clayton County",Clayton,Atlanta Regional Commission,Yes,59.5
13121011201,"Census Tract 112.01, Fulton County",Fulton,Atlanta Regional Commission,Yes,58.3
13089022008,"Census Tract 220.08, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,64.1
13245010104,"Census Tract 101.04, Richmond County",Richmond,Central Savannah River Area,No,49.7
13071970800,"Census Tract 9708, Colquitt County",Colquitt,Southwest Georgia,No,51.3
13089021307,"Census Tract 213.07, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,46.8
13021013800,"Census Tract 138, Bibb County",Bibb,Middle Georgia,No,42
13089021704,"Census Tract 217.04, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,42.7
13245010707,"Census Tract 107.07, Richmond County",Richmond,Central Savannah River Area,No,46.3
13215010606,"Census Tract 106.06, Muscogee County",Muscogee,River Valley,No,44.4
13095010401,"Census Tract 104.01, Dougherty County",Dougherty,Southwest Georgia,No,29.9
13245000900,"Census Tract 9, Richmond County",Richmond,Central Savannah River Area,No,52
13095001100,"Census Tract 11, Dougherty County",Dougherty,Southwest Georgia,No,52.9
13051011600,"Census Tract 116, Chatham County",Chatham,Coastal Regional Commission,No,70
13127000800,"Census Tract 8, Glynn County",Glynn,Coastal Regional Commission,No,48
13185010601,"Census Tract 106.01, Lowndes County",Lowndes,Southern Georgia,No,55.7
13215002100,"Census Tract 21, Muscogee County",Muscogee,River Valley,No,68.6
13279970400,"Census Tract 9704, Toombs County",Toombs,Heart of Georgia Altamaha,No,39.1
13051003601,"Census Tract 36.01, Chatham County",Chatham,Coastal Regional Commission,No,68.4
13089020600,"Census Tract 206, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,65.2
13151070109,"Census Tract 701.09, Henry County",Henry,Atlanta Regional Commission,Yes,39.2
13051004207,"Census Tract 42.07, Chatham County",Chatham,Coastal Regional Commission,No,69.4
13051000300,"Census Tract 3, Chatham County",Chatham,Coastal Regional Commission,No,51
13309780200,"Census Tract 7802, Wheeler County",Wheeler,Heart of Georgia Altamaha,No,63.1
13121003900,"Census Tract 39, Fulton County",Fulton,Atlanta Regional Commission,Yes,62.8
13135050435,"Census Tract 504.35, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,52.9
13063040302,"Census Tract 403.02, Clayton County",Clayton,Atlanta Regional Commission,Yes,48.3
13051003900,"Census Tract 39, Chatham County",Chatham,Coastal Regional Commission,No,80.4
13263960200,"Census Tract 9602, Talbot County",Talbot,River Valley,No,26.9
13067031208,"Census Tract 312.08, Cobb County",Cobb,Atlanta Regional Commission,Yes,26.9
13051003800,"Census Tract 38, Chatham County",Chatham,Coastal Regional Commission,No,34.7
13051000900,"Census Tract 9, Chatham County",Chatham,Coastal Regional Commission,No,45.9
13051002800,"Census Tract 28, Chatham County",Chatham,Coastal Regional Commission,No,47.9
13089023108,"Census Tract 231.08, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,63.1
13121008602,"Census Tract 86.02, Fulton County",Fulton,Atlanta Regional Commission,Yes,82.3
13067031409,"Census Tract 314.09, Cobb County",Cobb,Atlanta Regional Commission,Yes,53.5
13193000400,"Census Tract 4, Macon County",Macon,River Valley,No,44.5
13063040617,"Census Tract 406.17, Clayton County",Clayton,Atlanta Regional Commission,Yes,46.9
13029980000,"Census Tract 9800, Bryan County",Bryan,Coastal Regional Commission,No,
13229960100,"Census Tract 9601, Pierce County",Pierce,Southern Georgia,No,54.2
13179010202,"Census Tract 102.02, Liberty County",Liberty,Coastal Regional Commission,No,49.8
13121011624,"Census Tract 116.24, Fulton County",Fulton,Atlanta Regional Commission,Yes,
13247060307,"Census Tract 603.07, Rockdale County",Rockdale,Atlanta Regional Commission,Yes,56.8
13067030327,"Census Tract 303.27, Cobb County",Cobb,Atlanta Regional Commission,Yes,39.8
13121003700,"Census Tract 37, Fulton County",Fulton,Atlanta Regional Commission,Yes,23.2
13245011000,"Census Tract 110, Richmond County",Richmond,Central Savannah River Area,No,54.3
13121008302,"Census Tract 83.02, Fulton County",Fulton,Atlanta Regional Commission,Yes,76.1
13121008903,"Census Tract 89.03, Fulton County",Fulton,Atlanta Regional Commission,Yes,38.2
13121005300,"Census Tract 53, Fulton County",Fulton,Atlanta Regional Commission,Yes,44.5
13009970100,"Census Tract 9701, Baldwin County",Baldwin,Middle Georgia,No,64.2
13095000502,"Census Tract 5.02, Dougherty County",Dougherty,Southwest Georgia,No,44.2
13215010703,"Census Tract 107.03, Muscogee County",Muscogee,River Valley,No,59
13121004300,"Census Tract 43, Fulton County",Fulton,Atlanta Regional Commission,Yes,60.8
13095010601,"Census Tract 106.01, Dougherty County",Dougherty,Southwest Georgia,No,67.3
13067030322,"Census Tract 303.22, Cobb County",Cobb,Atlanta Regional Commission,Yes,39.4
13067030220,"Census Tract 302.20, Cobb County",Cobb,Atlanta Regional Commission,Yes,39.2
13299950400,"Census Tract 9504, Ware County",Ware,Southern Georgia,No,51.1
13121010115,"Census Tract 101.15, Fulton County",Fulton,Atlanta Regional Commission,Yes,34.2
13121006801,"Census Tract 68.01, Fulton County",Fulton,Atlanta Regional Commission,Yes,
13121005200,"Census Tract 52, Fulton County",Fulton,Atlanta Regional Commission,Yes,41.7
13121003200,"Census Tract 32, Fulton County",Fulton,Atlanta Regional Commission,Yes,34.3
13089021102,"Census Tract 211.02, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,53
13095000700,"Census Tract 7, Dougherty County",Dougherty,Southwest Georgia,No,36.5
13067030407,"Census Tract 304.07, Cobb County",Cobb,Atlanta Regional Commission,Yes,50.2
13121006602,"Census Tract 66.02, Fulton County",Fulton,Atlanta Regional Commission,Yes,56.6
13223120601,"Census Tract 1206.01, Paulding County",Paulding,Northwest Georgia,Yes,58.2
13215010204,"Census Tract 102.04, Muscogee County",Muscogee,River Valley,No,55.6
13179990000,"Census Tract 9900, Liberty County",Liberty,Coastal Regional Commission,No,
13071970200,"Census Tract 9702, Colquitt County",Colquitt,Southwest Georgia,No,46.8
13013180104,"Census Tract 1801.04, Barrow County",Barrow,Northeast Georgia,Yes,70.2
13063040619,"Census Tract 406.19, Clayton County",Clayton,Atlanta Regional Commission,Yes,54.8
13245000700,"Census Tract 7, Richmond County",Richmond,Central Savannah River Area,No,66.5
13089023424,"Census Tract 234.24, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,58.2
13095000100,"Census Tract 1, Dougherty County",Dougherty,Southwest Georgia,No,50.6
13121009200,"Census Tract 92, Fulton County",Fulton,Atlanta Regional Commission,Yes,37.7
13117130508,"Census Tract 1305.08, Forsyth County",Forsyth,Atlanta Regional Commission,Yes,16.7
13089022007,"Census Tract 220.07, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,59.1
13063040519,"Census Tract 405.19, Clayton County",Clayton,Atlanta Regional Commission,Yes,52.9
13059030200,"Census Tract 302, Clarke County",Clarke,Northeast Georgia,No,70
13215000200,"Census Tract 2, Muscogee County",Muscogee,River Valley,No,26.3
13121000700,"Census Tract 7, Fulton County",Fulton,Atlanta Regional Commission,Yes,39.4
13173950100,"Census Tract 9501, Lanier County",Lanier,Southern Georgia,No,66.7
13175950900,"Census Tract 9509, Laurens County",Laurens,Heart of Georgia Altamaha,No,46.6
13215001400,"Census Tract 14, Muscogee County",Muscogee,River Valley,No,55.1
13121002600,"Census Tract 26, Fulton County",Fulton,Atlanta Regional Commission,Yes,65
13121006900,"Census Tract 69, Fulton County",Fulton,Atlanta Regional Commission,Yes,29.2
13089021215,"Census Tract 212.15, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,33.7
13141480400,"Census Tract 4804, Hancock County",Hancock,Central Savannah River Area,No,73.1
13135050418,"Census Tract 504.18, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,67.3
13067030233,"Census Tract 302.33, Cobb County",Cobb,Atlanta Regional Commission,Yes,41.1
13033950100,"Census Tract 9501, Burke County",Burke,Central Savannah River Area,No,54
13025960300,"Census Tract 9603, Brantley County",Brantley,Southern Georgia,No,35
13191110100,"Census Tract 1101, McIntosh County",McIntosh,Coastal Regional Commission,No,31.3
13121002500,"Census Tract 25, Fulton County",Fulton,Atlanta Regional Commission,Yes,61.7
13007960100,"Census Tract 9601, Baker County",Baker,Southwest Georgia,No,49.8
13185010402,"Census Tract 104.02, Lowndes County",Lowndes,Southern Georgia,No,54.9
13301970500,"Census Tract 9705, Warren County",Warren,Central Savannah River Area,No,19.1
13121005700,"Census Tract 57, Fulton County",Fulton,Atlanta Regional Commission,Yes,58.3
13319960200,"Census Tract 9602, Wilkinson County",Wilkinson,Middle Georgia,No,64.6
13121010119,"Census Tract 101.19, Fulton County",Fulton,Atlanta Regional Commission,Yes,50.3
13215000800,"Census Tract 8, Muscogee County",Muscogee,River Valley,No,37.4
13163960300,"Census Tract 9603, Jefferson County",Jefferson,Central Savannah River Area,No,51.2
13299950200,"Census Tract 9502, Ware County",Ware,Southern Georgia,No,57.1
13121011626,"Census Tract 116.26, Fulton County",Fulton,Atlanta Regional Commission,Yes,55.4
13063040516,"Census Tract 405.16, Clayton County",Clayton,Atlanta Regional Commission,Yes,43.4
13059002100,"Census Tract 21, Clarke County",Clarke,Northeast Georgia,No,75.8
13121001400,"Census Tract 14, Fulton County",Fulton,Atlanta Regional Commission,Yes,36.9
13217100903,"Census Tract 1009.03, Newton County",Newton,Northeast Georgia,Yes,60.7
13121010516,"Census Tract 105.16, Fulton County",Fulton,Atlanta Regional Commission,Yes,55.5
13067030337,"Census Tract 303.37, Cobb County",Cobb,Atlanta Regional Commission,Yes,43.3
13121010120,"Census Tract 101.20, Fulton County",Fulton,Atlanta Regional Commission,Yes,29.2
13121007300,"Census Tract 73, Fulton County",Fulton,Atlanta Regional Commission,Yes,52.8
13215010203,"Census Tract 102.03, Muscogee County",Muscogee,River Valley,No,40.9
13303950100,"Census Tract 9501, Washington County",Washington,Central Savannah River Area,No,44.8
13063040512,"Census Tract 405.12, Clayton County",Clayton,Atlanta Regional Commission,Yes,54.6
13121007002,"Census Tract 70.02, Fulton County",Fulton,Atlanta Regional Commission,Yes,38.6
13245010508,"Census Tract 105.08, Richmond County",Richmond,Central Savannah River Area,No,65.5
13185010401,"Census Tract 104.01, Lowndes County",Lowndes,Southern Georgia,No,50.2
13135050320,"Census Tract 503.20, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,62.5
13051003302,"Census Tract 33.02, Chatham County",Chatham,Coastal Regional Commission,No,44.3
13215001800,"Census Tract 18, Muscogee County",Muscogee,River Valley,No,59.1
13199970800,"Census Tract 9708, Meriwether County",Meriwether,Three Rivers,No,47.3
13121011614,"Census Tract 116.14, Fulton County",Fulton,Atlanta Regional Commission,Yes,45.9
13121007400,"Census Tract 74, Fulton County",Fulton,Atlanta Regional Commission,Yes,65.3
13063040413,"Census Tract 404.13, Clayton County",Clayton,Atlanta Regional Commission,Yes,52.3
13067030507,"Census Tract 305.07, Cobb County",Cobb,Atlanta Regional Commission,Yes,48.7
13247060406,"Census Tract 604.06, Rockdale County",Rockdale,Atlanta Regional Commission,Yes,77.4
13135050421,"Census Tract 504.21, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,52.5
13245010400,"Census Tract 104, Richmond County",Richmond,Central Savannah River Area,No,73.3
13031110404,"Census Tract 1104.04, Bulloch County",Bulloch,Coastal Regional Commission,No,61.2
13089021909,"Census Tract 219.09, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,64.9
13089021503,"Census Tract 215.03, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,64
13293010300,"Census Tract 103, Upson County",Upson,Three Rivers,No,42.6
13021011500,"Census Tract 115, Bibb County",Bibb,Middle Georgia,No,67.2
13051002100,"Census Tract 21, Chatham County",Chatham,Coastal Regional Commission,No,48.5
13051010502,"Census Tract 105.02, Chatham County",Chatham,Coastal Regional Commission,No,58.1
13051011400,"Census Tract 114, Chatham County",Chatham,Coastal Regional Commission,No,52.2
13073030202,"Census Tract 302.02, Columbia County",Columbia,Central Savannah River Area,No,58
13245001100,"Census Tract 11, Richmond County",Richmond,Central Savannah River Area,No,34
13289060200,"Census Tract 602, Twiggs County",Twiggs,Middle Georgia,No,55.4
13089021808,"Census Tract 218.08, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,62.1
13299950700,"Census Tract 9507, Ware County",Ware,Southern Georgia,No,60.9
13319960400,"Census Tract 9604, Wilkinson County",Wilkinson,Middle Georgia,No,71.8
13121001800,"Census Tract 18, Fulton County",Fulton,Atlanta Regional Commission,Yes,41.3
13179010501,"Census Tract 105.01, Liberty County",Liberty,Coastal Regional Commission,No,38.2
13121011000,"Census Tract 110, Fulton County",Fulton,Atlanta Regional Commission,Yes,65.2
13121004000,"Census Tract 40, Fulton County",Fulton,Atlanta Regional Commission,Yes,66.8
13021010200,"Census Tract 102, Bibb County",Bibb,Middle Georgia,No,54.6
13145120198,"Census Tract 1201.98, Harris County",Harris,River Valley,No,26.9
13245010106,"Census Tract 101.06, Richmond County",Richmond,Central Savannah River Area,No,39.5
13067031118,"Census Tract 311.18, Cobb County",Cobb,Atlanta Regional Commission,Yes,45.3
13051004210,"Census Tract 42.10, Chatham County",Chatham,Coastal Regional Commission,No,51.6
13215002700,"Census Tract 27, Muscogee County",Muscogee,River Valley,No,70.9
13067030333,"Census Tract 303.33, Cobb County",Cobb,Atlanta Regional Commission,Yes,21.9
13103030100,"Census Tract 301, Effingham County",Effingham,Coastal Regional Commission,No,53
13135050532,"Census Tract 505.32, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,51.1
13245000300,"Census Tract 3, Richmond County",Richmond,Central Savannah River Area,No,67.9
13023790200,"Census Tract 7902, Bleckley County",Bleckley,Heart of Georgia Altamaha,No,65.9
13135050428,"Census Tract 504.28, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,59
13153020108,"Census Tract 201.08, Houston County",Houston,Middle Georgia,No,59.4
13245010510,"Census Tract 105.10, Richmond County",Richmond,Central Savannah River Area,No,64.4
13067030405,"Census Tract 304.05, Cobb County",Cobb,Atlanta Regional Commission,Yes,55.3
13067030504,"Census Tract 305.04, Cobb County",Cobb,Atlanta Regional Commission,Yes,19.3
13057090702,"Census Tract 907.02, Cherokee County",Cherokee,Atlanta Regional Commission,Yes,54.1
13285960300,"Census Tract 9603, Troup County",Troup,Three Rivers,No,55.9
13285960400,"Census Tract 9604, Troup County",Troup,Three Rivers,No,58.1
13039010302,"Census Tract 103.02, Camden County",Camden,Coastal Regional Commission,No,46.4
13205090500,"Census Tract 905, Mitchell County",Mitchell,Southwest Georgia,No,24.8
13121009700,"Census Tract 97, Fulton County",Fulton,Atlanta Regional Commission,Yes,49.5
13067031002,"Census Tract 310.02, Cobb County",Cobb,Atlanta Regional Commission,Yes,65.2
13067031001,"Census Tract 310.01, Cobb County",Cobb,Atlanta Regional Commission,Yes,59.1
13305970100,"Census Tract 9701, Wayne County",Wayne,Heart of Georgia Altamaha,No,44
13139001102,"Census Tract 11.02, Hall County",Hall,Georgia Mountains,Yes,57.6
13285960202,"Census Tract 9602.02, Troup County",Troup,Three Rivers,No,53.8
13057090200,"Census Tract 902, Cherokee County",Cherokee,Atlanta Regional Commission,Yes,28
13121011303,"Census Tract 113.03, Fulton County",Fulton,Atlanta Regional Commission,Yes,50.2
13153021107,"Census Tract 211.07, Houston County",Houston,Middle Georgia,No,46.9
13071970701,"Census Tract 9707.01, Colquitt County",Colquitt,Southwest Georgia,No,76.4
13153021201,"Census Tract 212.01, Houston County",Houston,Middle Georgia,No,33.1
13139001606,"Census Tract 16.06, Hall County",Hall,Georgia Mountains,Yes,47.4
13089023113,"Census Tract 231.13, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,56
13089023213,"Census Tract 232.13, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,68.5
13089023303,"Census Tract 233.03, DeKalb County",DeKalb,Atlanta Regional Commission,Yes,65.2
13285960901,"Census Tract 9609.01, Troup County",Troup,Three Rivers,No,64.5
13067031113,"Census Tract 311.13, Cobb County",Cobb,Atlanta Regional Commission,Yes,51.4
13135050610,"Census Tract 506.10, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,41.3
13097080202,"Census Tract 802.02, Douglas County",Douglas,Atlanta Regional Commission,Yes,43.8
13135050608,"Census Tract 506.08, Gwinnett County",Gwinnett,Atlanta Regional Commission,Yes,39.1
13223120502,"Census Tract 1205.02, Paulding County",Paulding,Northwest Georgia,Yes,15.3
13115002000,"Census Tract 20, Floyd County",Floyd,Northwest Georgia,No,40
